取得日時,テーブル番号,日付,時刻,堤防天端からの高さ[m]
2026-09-18 02:48:46,0,09/18,01:00,-6.14
2026-09-18 02:48:46,0,09/17,19:00,-6.11
2026-09-18 02:48:46,0,09/17,13:00,-6.05
2026-09-18 02:48:46,0,09/17,07:00,-5.99
2026-09-18 02:48:46,0,09/17,01:00,-5.93
2026-09-18 02:48:46,0,09/16,19:00,-5.96
2026-09-18 02:48:46,0,09/16,13:00,-5.87
2026-09-18 02:48:46,0,09/16,07:00,-5.64
2026-09-18 02:48:46,0,09/16,01:00,-5.86
2026-09-18 02:48:46,0,09/15,19:00,-5.77
2026-09-18 02:48:46,0,09/15,13:00,-6.15
2026-09-18 02:48:46,0,09/15,07:00,-6.24
2026-09-18 02:48:46,0,09/15,01:00,-6.24
2026-09-18 02:48:46,0,09/14,19:00,-6.23
2026-09-18 02:48:46,0,09/14,13:00,-6.24
2026-09-18 02:48:46,0,09/14,07:00,-6.22
2026-09-18 02:48:46,0,09/14,01:00,-6.20
