取得日時,テーブル番号,日付,時刻,堤防天端からの高さ[m]
2026-09-02 20:33:03,0,09/02,19:00,-6.38
2026-09-02 20:33:03,0,09/02,13:00,-6.36
2026-09-02 20:33:03,0,09/02,07:00,-6.35
2026-09-02 20:33:03,0,09/02,01:00,-6.34
2026-09-02 20:33:03,0,09/01,19:00,-6.40
2026-09-02 20:33:03,0,09/01,13:00,-6.36
2026-09-02 20:33:03,0,09/01,07:00,-6.34
2026-09-02 20:33:03,0,09/01,01:00,-6.24
2026-09-02 20:33:03,0,08/31,19:00,-6.21
2026-09-02 20:33:03,0,08/31,13:00,-6.20
2026-09-02 20:33:03,0,08/31,07:00,-6.16
2026-09-02 20:33:03,0,08/31,01:00,-6.08
