取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-07 16:58:50,0,09/07,16:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,16:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,16:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,16:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,16:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,16:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,15:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,14:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,13:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,12:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,11:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,10:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:40,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:30,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:20,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:10,0.61,--,--
2026-09-07 16:58:50,0,09/07,09:00,0.61,--,--
2026-09-07 16:58:50,0,09/07,08:50,0.61,--,--
2026-09-07 16:58:50,0,09/07,08:40,0.61,--,--
2026-09-07 16:43:02,0,09/07,08:30,0.61,--,--
2026-09-07 16:25:17,0,09/07,08:20,0.61,--,--
2026-09-07 16:25:17,0,09/07,08:10,0.61,--,--
2026-09-07 16:02:10,0,09/07,08:00,0.61,--,--
2026-09-07 16:02:10,0,09/07,07:50,0.61,--,--
2026-09-07 16:02:10,0,09/07,07:40,0.61,--,--
2026-09-07 15:47:00,0,09/07,07:30,0.61,--,--
2026-09-07 15:23:49,0,09/07,07:20,0.61,--,--
2026-09-07 15:23:49,0,09/07,07:10,0.61,--,--
2026-09-07 14:57:31,0,09/07,07:00,0.61,--,--
2026-09-07 14:57:31,0,09/07,06:50,0.61,--,--
2026-09-07 14:57:31,0,09/07,06:40,0.61,--,--
2026-09-07 14:41:33,0,09/07,06:30,0.61,--,--
2026-09-07 14:41:33,0,09/07,06:20,0.61,--,--
2026-09-07 14:22:33,0,09/07,06:10,0.61,--,--
2026-09-07 14:22:33,0,09/07,06:00,0.61,--,--
2026-09-07 14:00:57,0,09/07,05:50,0.61,--,--
2026-09-07 14:00:57,0,09/07,05:40,0.61,--,--
2026-09-07 13:50:13,0,09/07,05:30,0.61,--,--
2026-09-07 13:33:19,0,09/07,05:20,0.61,--,--
2026-09-07 13:12:30,0,09/07,05:10,0.61,--,--
2026-09-07 13:12:30,0,09/07,05:00,0.61,--,--
2026-09-07 12:50:50,0,09/07,04:50,0.61,--,--
2026-09-07 12:50:50,0,09/07,04:40,0.61,--,--
2026-09-07 12:50:50,0,09/07,04:30,0.61,--,--
2026-09-07 12:36:13,0,09/07,04:20,0.61,--,--
2026-09-07 12:20:14,0,09/07,04:10,0.61,--,--
2026-09-07 12:20:14,0,09/07,04:00,0.61,--,--
2026-09-07 12:00:10,0,09/07,03:50,0.61,--,--
2026-09-07 12:00:10,0,09/07,03:40,0.61,--,--
2026-09-07 11:49:13,0,09/07,03:30,0.61,--,--
2026-09-07 11:33:10,0,09/07,03:20,0.61,--,--
2026-09-07 11:17:25,0,09/07,03:10,0.61,--,--
2026-09-07 11:17:25,0,09/07,03:00,0.61,--,--
2026-09-07 10:58:00,0,09/07,02:50,0.61,--,--
2026-09-07 10:58:00,0,09/07,02:40,0.61,--,--
2026-09-07 10:41:32,0,09/07,02:30,0.61,--,--
2026-09-07 10:41:32,0,09/07,02:20,0.61,--,--
2026-09-07 10:21:17,0,09/07,02:10,0.61,--,--
2026-09-07 10:21:17,0,09/07,02:00,0.61,--,--
2026-09-07 10:00:41,0,09/07,01:50,0.61,--,--
2026-09-07 10:00:41,0,09/07,01:40,0.61,--,--
2026-09-07 09:47:38,0,09/07,01:30,0.61,--,--
2026-09-07 09:22:28,0,09/07,01:20,0.61,--,--
2026-09-07 09:22:28,0,09/07,01:10,0.61,--,--
2026-09-07 09:22:28,0,09/07,01:00,0.61,--,--
2026-09-07 08:56:07,0,09/07,00:50,0.61,--,--
2026-09-07 08:56:07,0,09/07,00:40,0.61,--,--
2026-09-07 08:41:20,0,09/07,00:30,0.61,--,--
2026-09-07 08:41:20,0,09/07,00:20,0.61,--,--
2026-09-07 08:28:38,0,09/07,00:10,0.61,--,--
